scope,site,activity_group,option_name,baseline_amount,min_amount,max_amount,unit,emission_factor_tco2_per_unit,cost_per_unit,description
Scope1,Plant_A,Boiler_Heat,Natural_Gas,100,20,140,MWh,0.22,55,사업장 보일러 열원
Scope1,Plant_A,Boiler_Heat,LPG,20,0,60,MWh,0.27,68,사업장 보일러 열원
Scope1,Plant_A,Boiler_Heat,Biomethane,0,0,80,MWh,0.06,92,사업장 보일러 열원
Scope2,Plant_A,Electricity_Procurement,Grid,180,50,220,MWh,0.45,100,구매 전력
Scope2,Plant_A,Electricity_Procurement,Green_PPA,20,0,140,MWh,0.05,130,구매 전력
Scope2,Plant_A,Electricity_Procurement,Solar_Onsite,0,0,60,MWh,0.02,145,구매 전력
Scope3,Plant_A,Inbound_Transport,Truck,260,50,320,ton-km,0.00018,1.20,원자재 운송
Scope3,Plant_A,Inbound_Transport,Rail,40,0,220,ton-km,0.00006,1.60,원자재 운송
Scope3,Plant_A,Inbound_Transport,Ship,0,0,100,ton-km,0.00004,1.55,원자재 운송
Scope3,Plant_A,Material_Sourcing,Standard_Steel,90,30,120,ton,1.90,650,원자재 구매
Scope3,Plant_A,Material_Sourcing,Recycled_Steel,10,0,80,ton,1.10,720,원자재 구매
Scope3,Plant_A,Material_Sourcing,Green_Steel,0,0,40,ton,0.90,790,원자재 구매
