scope,site,activity_group,option_name,baseline_amount,min_amount,max_amount,unit,emission_factor_tco2_per_unit,cost_per_unit,description
Scope1,Plant_A,Boiler_Heat,Natural_Gas,110,80,120,MWh,0.22,55,사업장 보일러 열원
Scope1,Plant_A,Boiler_Heat,LPG,10,0,20,MWh,0.27,68,사업장 보일러 열원
Scope1,Plant_A,Boiler_Heat,Biomethane,0,0,10,MWh,0.06,95,사업장 보일러 열원
Scope2,Plant_A,Electricity_Procurement,Grid,190,160,210,MWh,0.45,100,구매 전력
Scope2,Plant_A,Electricity_Procurement,Green_PPA,10,0,25,MWh,0.05,132,구매 전력
Scope2,Plant_A,Electricity_Procurement,Solar_Onsite,0,0,15,MWh,0.02,150,구매 전력
Scope3,Plant_A,Inbound_Transport,Truck,280,240,300,ton-km,0.00018,1.20,원자재 운송
Scope3,Plant_A,Inbound_Transport,Rail,20,0,40,ton-km,0.00006,1.65,원자재 운송
Scope3,Plant_A,Inbound_Transport,Ship,0,0,10,ton-km,0.00004,1.60,원자재 운송
Scope3,Plant_A,Material_Sourcing,Standard_Steel,95,85,100,ton,1.90,650,원자재 구매
Scope3,Plant_A,Material_Sourcing,Recycled_Steel,5,0,15,ton,1.10,730,원자재 구매
Scope3,Plant_A,Material_Sourcing,Green_Steel,0,0,5,ton,0.90,810,원자재 구매
